persona_id,article_id,price_sig,prices_json,draw_id,response,ts,image_path
P002,309864002,f27a748afbfd728dd9826ccc8f98a594,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",0,"{""prices"": [5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99], ""p_buy"": [0.62, 0.58, 0.56, 0.54, 0.53, 0.52, 0.50, 0.48, 0.45, 0.42], ""reason"": ""Prices are well below my usual spend so attractive; black skinny trousers appeal, but kids' sizing lowers my likelihood slightly.""}",1779894697,images/309864002.jpg
P003,309864002,f27a748afbfd728dd9826ccc8f98a594,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",0,"{""prices"": [5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99], ""p_buy"": [0.22, 0.19, 0.18, 0.16, 0.155, 0.15, 0.14, 0.13, 0.11, 0.09], ""reason"": ""Mostly buy dresses and usually pay $19–23; cheap kids trousers are lower priority but very low prices slightly increase impulse purchase likelihood.""}",1779894699,images/309864002.jpg
P004,309864002,f27a748afbfd728dd9826ccc8f98a594,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",0,"{""prices"": [5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99], ""p_buy"": [0.40, 0.36, 0.34, 0.32, 0.31, 0.30, 0.28, 0.26, 0.18, 0.15], ""reason"": ""Price is much lower than my usual spend, so moderately likely to buy; but I mostly buy dresses and this is kids' trousers, so interest falls as price rises.""}",1779894700,images/309864002.jpg
P007,309864002,f27a748afbfd728dd9826ccc8f98a594,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",0,"{""prices"": [5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99], ""p_buy"": [0.95, 0.92, 0.90, 0.88, 0.86, 0.85, 0.82, 0.80, 0.75, 0.72], ""reason"": ""Black slim trousers are my preferred category and these prices are well below my usual $20+ spend, so purchase is very likely.""}",1779894701,images/309864002.jpg
P005,309864002,f27a748afbfd728dd9826ccc8f98a594,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",0,"{""prices"": [5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99], ""p_buy"": [0.88, 0.82, 0.80, 0.78, 0.77, 0.76, 0.75, 0.74, 0.70, 0.68], ""reason"": ""These prices are well below my usual $14–$16 spend; black skinny trousers are versatile and more likely purchased at lower prices.""}",1779894703,images/309864002.jpg
P008,309864002,f27a748afbfd728dd9826ccc8f98a594,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",0,"{""prices"":[5.99,7.64,7.99,8.49,8.56,8.66,8.85,8.99,9.52,9.99],""p_buy"":[0.95,0.92,0.90,0.88,0.87,0.86,0.84,0.83,0.78,0.75],""reason"":""Staple black skinny trousers in my preferred category; prices are well below my usual spend so very likely to buy, with slight drop as price nears $10.""}",1779894705,images/309864002.jpg
P012,309864002,f27a748afbfd728dd9826ccc8f98a594,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",0,"{""prices"":[5.99,7.64,7.99,8.49,8.56,8.66,8.85,8.99,9.52,9.99],""p_buy"":[0.18,0.15,0.145,0.12,0.12,0.11,0.10,0.095,0.08,0.07],""reason"":""Children’s trousers; I rarely buy trousers and usually spend more. Low prices increase minor gift impulse but overall purchase likelihood is low.""}",1779894706,images/309864002.jpg
P001,309864002,f27a748afbfd728dd9826ccc8f98a594,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",0,"{""prices"":[5.99,7.64,7.99,8.49,8.56,8.66,8.85,8.99,9.52,9.99],""p_buy"":[0.95,0.90,0.88,0.86,0.85,0.84,0.82,0.80,0.75,0.70],""reason"":""I buy trousers often; these black skinny jeans are far below my usual $19–23 spend, very attractive — likelihood high, decreasing slightly as price rises.""}",1779894707,images/309864002.jpg
P009,309864002,f27a748afbfd728dd9826ccc8f98a594,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",0,"{""prices"":[5.99,7.64,7.99,8.49,8.56,8.66,8.85,8.99,9.52,9.99],""p_buy"":[0.28,0.22,0.21,0.19,0.18,0.17,0.15,0.14,0.10,0.08],""reason"":""I usually buy sweaters; trousers are lower priority. These prices are bargains versus my usual spend, but uncertain fit/size (kids sizing) reduces interest.""}",1779894709,images/309864002.jpg
P010,309864002,f27a748afbfd728dd9826ccc8f98a594,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",0,"{""prices"":[5.99,7.64,7.99,8.49,8.56,8.66,8.85,8.99,9.52,9.99],""p_buy"":[0.28,0.24,0.23,0.21,0.20,0.19,0.17,0.16,0.14,0.12],""reason"":""Very low prices increase chance, but I'm an infrequent buyer used to $20–30 trousers; possible kid sizing reduces my likelihood.""}",1779894710,images/309864002.jpg
P011,309864002,f27a748afbfd728dd9826ccc8f98a594,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",0,"{""prices"": [5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99], ""p_buy"": [0.09, 0.085, 0.082, 0.078, 0.076, 0.073, 0.068, 0.065, 0.055, 0.05], ""reason"": ""I rarely buy trousers and usually pay $20–26 for H&M; cheap price slightly raises impulse interest but quality/dress preference keep purchase likelihood low.""}",1779894710,images/309864002.jpg
P006,309864002,f27a748afbfd728dd9826ccc8f98a594,"[5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99]",0,"{""prices"": [5.99, 7.64, 7.99, 8.49, 8.56, 8.66, 8.85, 8.99, 9.52, 9.99], ""p_buy"": [0.85, 0.69, 0.65, 0.60, 0.59, 0.58, 0.56, 0.55, 0.50, 0.45], ""reason"": ""I buy trousers often and usually pay ~$19; these very low prices make purchase likely, though extreme bargains raise minor fit/quality concerns.""}",1779894710,images/309864002.jpg
